Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
J P Morgan,106905,CitiBank New York Branch,CAD,Deliver,23578137,1717-1111-19191919,Processing,913483,Payment is in progress
BNY Mellon,109806,CitiBank HongKong,CAD,Receive,82465832,1414-1212-19191919,Processing,5570772,Payment Failed
J P Morgan,101147,CitiBank London,CAD,Deliver,88095470,0808-0606-19191919,Partially Paid,1115404,Waiting for pending amount
DEUTSCHE BANK,104084,CitiBank London,GBP,Deliver,40157109,3131-0808-19191919,Fully paid,6558817,Payment Failed
BNY Mellon,101910,CitiBank London,"EUR,",Deliver,94789295,0404-0606-19191919,Processing,1397477,Payment is in progress
J P Morgan,108645,CitiBank New York Branch,CAD,Receive,98858927,0101-0303-20202020,Fully paid,2929547,Waiting for pending amount
J P Morgan,109430,CitiBank London,USD,Deliver,72452389,1111-1010-19191919,Rejected,1454480,Waiting for pending amount
BNY Mellon,101869,CitiBank London,CAD,Deliver,69767180,0707-1111-19191919,Partially Paid,7222373,Transaction complete
DEUTSCHE BANK,103979,CitiBank London,USD,Receive,25207309,2424-0505-20202020,Processing,4311221,Payment is in progress
BNY Mellon,104862,CitiBank London,"EUR,",Deliver,64352187,1717-0404-19191919,Fully paid,6305583,Payment Failed
BNY Mellon,104727,CitiBank London,GBP,Deliver,48473902,2828-0303-19191919,Processing,9817451,Transaction complete
BNY Mellon,106285,CitiBank HongKong,"EUR,",Deliver,68642602,2424-1111-19191919,Fully paid,2054150,Transaction complete
BNY Mellon,104951,CitiBank HongKong,CAD,Deliver,97394717,0303-0101-20202020,Fully paid,5839508,Payment Failed
BNY Mellon,106105,CitiBank New York Branch,CAD,Deliver,15167501,2626-1010-19191919,Processing,8657489,Transaction complete
DEUTSCHE BANK,109285,CitiBank New York Branch,"EUR,",Deliver,94133544,1010-0303-20202020,Fully paid,4593599,Payment Failed
DEUTSCHE BANK,102460,CitiBank London,CAD,Receive,4579295,0303-0909-19191919,Partially Paid,7635232,Waiting for pending amount
BNY Mellon,101032,CitiBank London,CAD,Deliver,63951403,0101-0505-19191919,Processing,5490464,Payment Failed
HSBC,108117,CitiBank HongKong,GBP,Receive,72687438,2525-0101-20202020,Processing,475111,Payment is in progress
BNY Mellon,109121,CitiBank HongKong,GBP,Deliver,91230516,1919-0202-20202020,Rejected,9079743,Payment is in progress
DEUTSCHE BANK,102468,CitiBank London,"EUR,",Receive,44613343,0505-0606-20202020,Fully paid,295853,Waiting for pending amount
J P Morgan,102732,CitiBank Singapore,"EUR,",Receive,83886518,2828-0101-20202020,Processing,2259949,Payment is in progress
J P Morgan,103041,CitiBank Singapore,USD,Deliver,81511166,2626-0606-19191919,Partially Paid,9022990,Payment is in progress
DEUTSCHE BANK,103070,CitiBank HongKong,GBP,Receive,13158589,2323-0505-19191919,Rejected,4063044,Transaction complete
DEUTSCHE BANK,102956,CitiBank New York Branch,"EUR,",Receive,96793612,1717-0202-20202020,Fully paid,7445312,Waiting for pending amount
J P Morgan,103782,CitiBank Singapore,USD,Deliver,32959046,2121-0202-20202020,Partially Paid,1781771,Transaction complete
J P Morgan,109257,CitiBank London,GBP,Receive,39399452,0505-0303-20202020,Fully paid,1511545,Transaction complete
J P Morgan,100922,CitiBank London,CAD,Deliver,91974676,1313-1111-19191919,Partially Paid,8518703,Payment Failed
BNY Mellon,109308,CitiBank HongKong,CAD,Deliver,59552900,0505-0606-19191919,Fully paid,625767,Waiting for pending amount
HSBC,107730,CitiBank New York Branch,USD,Deliver,73044486,1414-1212-19191919,Fully paid,3600338,Payment Failed
BNY Mellon,102508,CitiBank HongKong,CAD,Receive,5610268,2727-0404-20202020,Fully paid,8755107,Payment Failed
BNY Mellon,107730,CitiBank Singapore,USD,Receive,34214651,2525-1111-19191919,Fully paid,775776,Waiting for pending amount
DEUTSCHE BANK,104045,CitiBank HongKong,USD,Deliver,69678421,0909-0808-19191919,Rejected,5591374,Transaction complete
BNY Mellon,105635,CitiBank New York Branch,GBP,Deliver,64653572,2626-0303-19191919,Processing,9927532,Payment Failed
BNY Mellon,105314,CitiBank Singapore,CAD,Receive,8012863,2424-0707-19191919,Processing,5105220,Payment is in progress
DEUTSCHE BANK,109160,CitiBank London,GBP,Receive,36554324,0303-0303-20202020,Rejected,7992188,Payment Failed
BNY Mellon,103958,CitiBank New York Branch,"EUR,",Deliver,29964227,0202-1010-19191919,Partially Paid,9764805,Transaction complete
HSBC,100041,CitiBank Singapore,GBP,Receive,2536955,1818-1111-19191919,Processing,7081986,Waiting for pending amount
BNY Mellon,102329,CitiBank HongKong,"EUR,",Receive,43254897,1919-0707-19191919,Partially Paid,7162747,Payment Failed
DEUTSCHE BANK,103613,CitiBank New York Branch,GBP,Deliver,57870300,0606-0505-20202020,Processing,3924852,Payment is in progress
J P Morgan,107090,CitiBank Singapore,GBP,Receive,98748377,2525-0202-20202020,Rejected,8326406,Transaction complete
J P Morgan,108066,CitiBank HongKong,GBP,Receive,10539126,2121-0303-19191919,Processing,8362704,Payment Failed
DEUTSCHE BANK,105879,CitiBank Singapore,GBP,Deliver,87127958,2727-0707-19191919,Rejected,9817645,Transaction complete
HSBC,106692,CitiBank Singapore,USD,Deliver,79525627,0909-0808-19191919,Rejected,5020516,Payment is in progress
BNY Mellon,102278,CitiBank HongKong,USD,Deliver,56586244,2020-1111-19191919,Rejected,5842304,Transaction complete
BNY Mellon,101788,CitiBank New York Branch,CAD,Receive,60342995,3131-0303-20202020,Rejected,9335877,Payment Failed
BNY Mellon,103938,CitiBank HongKong,"EUR,",Deliver,24189599,0101-1010-19191919,Fully paid,4989894,Payment Failed
BNY Mellon,103986,CitiBank HongKong,CAD,Deliver,32644523,3030-0505-20202020,Rejected,8267657,Payment is in progress
HSBC,106393,CitiBank HongKong,USD,Receive,16931026,1313-0909-19191919,Rejected,4677838,Waiting for pending amount
J P Morgan,101750,CitiBank London,GBP,Deliver,87432239,0404-0303-20202020,Rejected,5218102,Payment is in progress
DEUTSCHE BANK,104558,CitiBank London,CAD,Receive,79353551,1717-1111-19191919,Fully paid,1006867,Transaction complete
HSBC,107884,CitiBank HongKong,GBP,Receive,27949475,0606-1111-19191919,Fully paid,3231078,Payment is in progress
HSBC,109357,CitiBank Singapore,"EUR,",Deliver,22291081,0101-0606-19191919,Processing,5762310,Payment Failed
DEUTSCHE BANK,109221,CitiBank London,CAD,Receive,73348840,0707-0303-20202020,Rejected,4717790,Transaction complete
BNY Mellon,102329,CitiBank New York Branch,"EUR,",Deliver,45556882,1515-0303-20202020,Processing,6778815,Payment is in progress
J P Morgan,105086,CitiBank HongKong,USD,Receive,67575156,0404-0808-19191919,Fully paid,9237034,Waiting for pending amount
DEUTSCHE BANK,101597,CitiBank New York Branch,"EUR,",Receive,97790930,2020-0909-19191919,Partially Paid,7315400,Payment is in progress
DEUTSCHE BANK,103463,CitiBank HongKong,"EUR,",Deliver,72112389,0101-1010-19191919,Partially Paid,3180087,Transaction complete
J P Morgan,101297,CitiBank Singapore,GBP,Deliver,65067008,1212-0808-19191919,Processing,1928505,Transaction complete
BNY Mellon,108059,CitiBank HongKong,USD,Deliver,89061471,2727-0101-20202020,Processing,6952477,Payment is in progress
J P Morgan,100492,CitiBank HongKong,USD,Receive,54057489,0404-0707-19191919,Partially Paid,9221498,Transaction complete
BNY Mellon,107190,CitiBank HongKong,GBP,Receive,62785597,2727-1010-19191919,Processing,7825994,Waiting for pending amount
DEUTSCHE BANK,104710,CitiBank Singapore,USD,Deliver,7868719,0303-0101-20202020,Processing,3733891,Payment is in progress
HSBC,103791,CitiBank Singapore,USD,Deliver,47493455,0202-0909-19191919,Processing,6630949,Payment Failed
BNY Mellon,109875,CitiBank Singapore,GBP,Receive,90252325,1313-0404-20202020,Rejected,6790429,Payment is in progress
BNY Mellon,100211,CitiBank HongKong,GBP,Deliver,48933953,1111-0202-20202020,Rejected,8492248,Transaction complete
J P Morgan,103745,CitiBank London,GBP,Deliver,10636144,0404-0808-19191919,Processing,682953,Payment is in progress
DEUTSCHE BANK,102691,CitiBank Singapore,"EUR,",Receive,90755267,1414-0505-20202020,Partially Paid,5560521,Waiting for pending amount
BNY Mellon,102224,CitiBank London,USD,Receive,7203711,1717-0909-19191919,Processing,499267,Transaction complete
HSBC,105797,CitiBank Singapore,USD,Deliver,10876454,2525-0505-19191919,Fully paid,6135341,Payment Failed
J P Morgan,102774,CitiBank Singapore,USD,Receive,38877498,3030-0404-19191919,Partially Paid,4599764,Payment Failed
BNY Mellon,108021,CitiBank New York Branch,USD,Receive,21123674,1818-0808-19191919,Processing,9796893,Payment is in progress
BNY Mellon,105346,CitiBank HongKong,CAD,Receive,13835207,2222-1010-19191919,Processing,2148788,Payment Failed
HSBC,109062,CitiBank London,"EUR,",Receive,17090769,1717-0505-20202020,Rejected,9688731,Payment Failed
DEUTSCHE BANK,102342,CitiBank London,"EUR,",Receive,97812385,3030-1212-19191919,Fully paid,5234905,Waiting for pending amount
DEUTSCHE BANK,107421,CitiBank Singapore,"EUR,",Receive,54786128,0202-0606-19191919,Fully paid,5102076,Payment is in progress
HSBC,103361,CitiBank New York Branch,GBP,Receive,72227326,0606-0303-20202020,Partially Paid,5179755,Transaction complete
HSBC,108018,CitiBank London,GBP,Receive,38470386,2929-0303-19191919,Rejected,243324,Payment Failed
HSBC,105742,CitiBank London,USD,Receive,75502969,1515-0505-19191919,Partially Paid,5744284,Transaction complete
HSBC,106085,CitiBank New York Branch,CAD,Deliver,11319211,3131-0303-20202020,Fully paid,9666049,Transaction complete
J P Morgan,103957,CitiBank HongKong,GBP,Deliver,32286388,1717-0202-20202020,Fully paid,5496680,Payment Failed
DEUTSCHE BANK,102996,CitiBank New York Branch,USD,Deliver,9007800,1919-0505-20202020,Fully paid,3514819,Payment is in progress
DEUTSCHE BANK,108844,CitiBank New York Branch,"EUR,",Deliver,54356680,2727-1010-19191919,Fully paid,5374793,Payment Failed
